period,region,sex,e0
2020-2024,Florida,2,84.97130421036319
1980-1984,Guanica,2,76.566413717649
1985-1989,Guanica,2,76.77385848479396
1990-1994,Guanica,2,77.14183543937105
1995-1999,Guanica,2,77.34839133727026
2000-2004,Guanica,2,78.81286263013934
2005-2009,Guanica,2,79.90858779969004
2010-2014,Guanica,2,81.10505027878354
2015-2019,Guanica,2,82.08621081946643
2020-2024,Guanica,2,82.35572816028615
1980-1984,Guayama,2,77.22911957520678
1985-1989,Guayama,2,77.3668945059077
1990-1994,Guayama,2,78.12699318501112
1995-1999,Guayama,2,78.7479509263656
2000-2004,Guayama,2,80.1514486313527
2005-2009,Guayama,2,80.72530242700346
2010-2014,Guayama,2,82.0719720367979
2015-2019,Guayama,2,83.59023535650532
2020-2024,Guayama,2,83.06096678961056
1980-1984,Guayanilla,2,77.37156350834711
1985-1989,Guayanilla,2,77.23084923118292
1990-1994,Guayanilla,2,77.94439812991604
1995-1999,Guayanilla,2,78.51064853772237
2000-2004,Guayanilla,2,79.76090183585079
2005-2009,Guayanilla,2,80.11549668743957
2010-2014,Guayanilla,2,81.33503255430533
2015-2019,Guayanilla,2,83.84127482908238
2020-2024,Guayanilla,2,83.97339047152218
1980-1984,Guaynabo,2,79.691590463676
1985-1989,Guaynabo,2,80.5992687180789
1990-1994,Guaynabo,2,80.71294218561954
1995-1999,Guaynabo,2,81.5456004553384
2000-2004,Guaynabo,2,82.67791873679481
2005-2009,Guaynabo,2,83.74562528179094
2010-2014,Guaynabo,2,84.65273187517211
2015-2019,Guaynabo,2,86.50658395161581
2020-2024,Guaynabo,2,86.81590033890113
1980-1984,Gurabo,2,78.35166538670518
1985-1989,Gurabo,2,78.68783028949684
1990-1994,Gurabo,2,79.33600290593029
1995-1999,Gurabo,2,79.33802648748338
2000-2004,Gurabo,2,81.5395933788378
2005-2009,Gurabo,2,82.31683254992228
2010-2014,Gurabo,2,83.4677095822046
2015-2019,Gurabo,2,85.59046224635948
2020-2024,Gurabo,2,84.94821634594068
1980-1984,Hatillo,2,78.68534068623947
1985-1989,Hatillo,2,79.03168453361624
1990-1994,Hatillo,2,78.58592409533492
1995-1999,Hatillo,2,78.74855251063153
2000-2004,Hatillo,2,80.51429824221628
2005-2009,Hatillo,2,81.73055295346937
2010-2014,Hatillo,2,83.27669749113838
2015-2019,Hatillo,2,84.41407109669
2020-2024,Hatillo,2,84.96538649219961
1980-1984,Hormigueros,2,79.61546701582648
1985-1989,Hormigueros,2,79.45949807943398
1990-1994,Hormigueros,2,80.34304060185222
1995-1999,Hormigueros,2,80.40983173439827
2000-2004,Hormigueros,2,81.97223941674552
2005-2009,Hormigueros,2,83.22300464575409
