region,period,sex,e0_observado,e0_estimado,e0_lower,e0_upper,est_eval
Carolina,1995-1999,1,70.60394767924991,70.84691765642216,70.44679801587539,71.34030746458612,Estimación adecuada
Carolina,1995-1999,2,80.17066355341139,80.12005749982987,79.50476242624143,80.6145986827651,Estimación adecuada
Carolina,2000-2004,1,73.93076115352547,74.03205969758343,73.47724197979328,74.55078364158618,Estimación adecuada
Carolina,2000-2004,2,81.94990115891812,81.72127652154808,81.24860407447716,82.2990568886007,Estimación adecuada
Carolina,2005-2009,1,74.82294831043073,74.8685653929532,74.38040417830543,75.46224811094123,Estimación adecuada
Carolina,2005-2009,2,82.93347404417227,82.83610775655582,82.296471794009,83.42836910685133,Estimación adecuada
Carolina,2010-2014,1,75.7216623224996,75.99215818090508,75.45024262514116,76.45300520410684,Estimación adecuada
Carolina,2010-2014,2,84.32702876051525,84.16898802537182,83.47555814016832,84.89139106416943,Estimación adecuada
Carolina,2015-2019,1,78.16150181754098,78.089020531875,77.4626974809934,78.79601505538312,Estimación adecuada
Carolina,2015-2019,2,86.31301087441426,86.18689051616238,85.38953261764576,87.0192367092794,Estimación adecuada
Carolina,2020-2024,1,78.61601699181084,78.50663786032142,77.86416299450403,79.13784488670096,Estimación adecuada
Carolina,2020-2024,2,85.92480146843513,85.53589397343634,84.95491548143261,86.15854777309258,Estimación adecuada
Catano,1980-1984,1,64.71158204088911,66.11640104332807,65.17232272708586,67.28059582171109,> e0 observado
Catano,1980-1984,2,75.60330232750007,75.4381886991647,74.20504120017081,76.690287526333,Estimación adecuada
Catano,1985-1989,1,65.74843366392102,66.9269418336992,65.86915639694618,67.90845978373304,> e0 observado
Catano,1985-1989,2,78.65957711284251,77.51788606943063,75.99150026213258,78.59287028812906,< e0 observado
Catano,1990-1994,1,63.551421617424765,65.225025513498,64.17936824691128,66.36914843192656,> e0 observado
Catano,1990-1994,2,77.73013012436986,77.16161848197116,76.22668734983819,78.45109801512959,Estimación adecuada
