year,fips3,municipio,sex,agegrp,population
2004,1,Adjuntas,1,5,764
2005,1,Adjuntas,1,5,751
2006,1,Adjuntas,1,5,735
2007,1,Adjuntas,1,5,717
2008,1,Adjuntas,1,5,703
2009,1,Adjuntas,1,5,698
2000,1,Adjuntas,1,6,565
2001,1,Adjuntas,1,6,567
2002,1,Adjuntas,1,6,578
2003,1,Adjuntas,1,6,593
2004,1,Adjuntas,1,6,612
2005,1,Adjuntas,1,6,631
2006,1,Adjuntas,1,6,643
2007,1,Adjuntas,1,6,650
2008,1,Adjuntas,1,6,654
2009,1,Adjuntas,1,6,650
2000,1,Adjuntas,1,7,564
2001,1,Adjuntas,1,7,562
2002,1,Adjuntas,1,7,560
2003,1,Adjuntas,1,7,557
2004,1,Adjuntas,1,7,552
2005,1,Adjuntas,1,7,548
2006,1,Adjuntas,1,7,541
2007,1,Adjuntas,1,7,538
2008,1,Adjuntas,1,7,541
2009,1,Adjuntas,1,7,546
2000,1,Adjuntas,1,8,601
2001,1,Adjuntas,1,8,599
2002,1,Adjuntas,1,8,591
2003,1,Adjuntas,1,8,577
2004,1,Adjuntas,1,8,564
2005,1,Adjuntas,1,8,554
2006,1,Adjuntas,1,8,545
2007,1,Adjuntas,1,8,538
2008,1,Adjuntas,1,8,531
2009,1,Adjuntas,1,8,521
2000,1,Adjuntas,1,9,586
2001,1,Adjuntas,1,9,595
2002,1,Adjuntas,1,9,600
2003,1,Adjuntas,1,9,608
2004,1,Adjuntas,1,9,619
2005,1,Adjuntas,1,9,626
2006,1,Adjuntas,1,9,630
2007,1,Adjuntas,1,9,632
2008,1,Adjuntas,1,9,624
2009,1,Adjuntas,1,9,617
2000,1,Adjuntas,1,10,562
2001,1,Adjuntas,1,10,569
2002,1,Adjuntas,1,10,581
2003,1,Adjuntas,1,10,588
2004,1,Adjuntas,1,10,595
2005,1,Adjuntas,1,10,604
2006,1,Adjuntas,1,10,611
2007,1,Adjuntas,1,10,612
2008,1,Adjuntas,1,10,616
