region,period,sex,Age,AgeInt,nMx,nAx,nqx,lx,ndx,nLx,Sx,Tx,ex
Guanica,2020-2024,2,55,5,0.00448943346492135,2.5,0.022198025923516187,94450.97351840703,2096.625158662937,467013.30469537777,0.9714707272114682,2845215.219132132,30.123725708106583
Guanica,2020-2024,2,60,5,0.007125562774661523,2.5,0.035004251396542375,92354.3483597441,3232.794827548336,453689.75472984964,0.9593898805779253,2378201.9144367543,25.750838554704995
Guanica,2020-2024,2,65,5,0.00950446234504321,2.5,0.04641933467887278,89121.55353219576,4136.963220512072,435265.35960969864,0.9334560931350686,1924512.1597069046,21.594239366705626
Guanica,2020-2024,2,70,5,0.018333053398852387,2.5,0.08764812270940997,84984.59031168369,7448.739800047377,406301.1020583,0.8879326372555262,1489246.800097206,17.523727473831972
Guanica,2020-2024,2,75,5,0.029837727083471197,2.5,0.13883251842934177,77535.85051163631,10764.497395091428,360768.009070453,0.8230711318197221,1082945.6980389059,13.967031907083822
Guanica,2020-2024,2,80,5,0.04973302866076669,2.5,0.22116689454125138,66771.35311654488,14767.612813103544,296937.73354996555,0.588830092530127,722177.688968453,10.815681505030168
Guanica,2020-2024,2,85,NA,0.1264090915126244,8.177103280210543,1,52003.74030344134,52003.74030344134,425239.9554184874,0,425239.9554184874,8.177103280210543
Guayama,1980-1984,2,0,1,0.01555139177458147,0.11706769102745593,0.01534075059367702,100000,1534.0750593677076,98645.51556569527,0.9842552654945811,7722922.935790081,77.2292293579008
Guayama,1980-1984,2,1,4,3.877545475501371e-4,1.4990405987840876,0.0015495155345243612,98465.92494063229,152.57448031680542,393482.11718159524,0.9983791409104426,7624277.420224385,77.43061800131633
Guayama,1980-1984,2,5,5,1.9277399611884372e-4,2.5,9.634056816863628e-4,98313.35046031549,94.7156404191046,491329.9632005297,0.9990130048420703,7230795.30304279,73.54845775459076
Guayama,1980-1984,2,10,5,2.022236608270353e-4,2.5,0.0010106073823238958,98218.63481989638,99.26047743075469,490845.02290590503,0.9985541377104007,6739465.33984226,68.61697224972048
Guayama,1980-1984,2,15,5,3.7666586197829043e-4,2.5,0.0018815575136845676,98119.37434246563,184.61724603209586,490135.3285972479,0.9976034417067631,6248620.316936355,63.68385814535285
Guayama,1980-1984,2,20,5,5.833555007797837e-4,2.5,0.002912529903048596,97934.75709643353,285.23790859116707,488960.69071068976,0.996434525525671,5758484.9883391075,58.79919610837339
Guayama,1980-1984,2,25,5,8.458501460566944e-4,2.5,0.004220326321195496,97649.51918784236,412.11283608053054,487217.3138490105,0.9950950781483734,5269524.297628418,53.96364817210987
Guayama,1980-1984,2,30,5,0.0011216200533026095,2.5,0.005592418843709119,97237.40635176183,543.7923035949934,484827.5509998217,0.9932702519244602,4782306.983779407,49.181762072911944
Guayama,1980-1984,2,35,5,0.0015809183591987419,2.5,0.0078734734989807,96693.61404816684,761.314607728913,481564.78372151195,0.9910298270866508,4297479.432779585,44.444294228560366
Guayama,1980-1984,2,40,5,0.002025318261147974,2.5,0.010075575687162894,95932.29944043793,966.5731438557123,477245.06434255035,0.9878600870495424,3815914.649058073,39.77716234590294
Guayama,1980-1984,2,45,5,0.0028654330265426276,2.5,0.014225261298870683,94965.72629658222,1350.9122710059164,471451.3508053963,0.980675060002721,3338669.5847155224,35.15657400743409
Guayama,1980-1984,2,50,5,0.00496040245211848,2.5,0.02449820981055048,93614.8140255763,2293.3953553742467,462340.58173944586,0.9711751796668613,2867218.233910126,30.627825988382348
Guayama,1980-1984,2,55,5,0.006764511510055799,2.5,0.03326008694781905,91321.41867020205,3037.3583251691016,449013.6975380875,0.9557459435339537,2404877.6521706805,26.3342125778362
Guayama,1980-1984,2,60,5,0.011443533870436137,2.5,0.05562626668494303,88284.06034503295,4910.912684782408,429143.02001320873,0.9304547533335787,1955863.954632593,22.154213874947068
Guayama,1980-1984,2,65,5,0.017598453592145718,2.5,0.08428409368265302,83373.14766025054,7027.030188014207,399298.16283121717,0.894571184952731,1526720.9346193844,18.311902302655565
Guayama,1980-1984,2,70,5,0.027469107925782686,2.5,0.1285197335502049,76346.11747223634,9811.982675124455,357200.6306733705,0.8393449452817174,1127422.771788167,14.767257446957407
Guayama,1980-1984,2,75,5,0.04383527198008106,2.5,0.1975294653104918,66534.13479711188,13142.452071369698,299814.54380713514,0.7528211681918431,770222.1411147965,11.576345637671542
Guayama,1980-1984,2,80,5,0.07310668598143978,2.5,0.3090494729736616,53391.68272574218,16500.67140756757,225706.73510979197,0.5201890096979606,470407.5973076613,8.810503308614765
Guayama,1980-1984,2,85,NA,0.1620164637423363,6.633075468910112,1,36891.01131817461,36891.01131817461,244700.86219786934,0,244700.86219786934,6.633075468910112
Guayama,1985-1989,2,0,1,0.014154506953760224,0.11993866649314522,0.013980355976398507,100000,1398.0355976398423,98769.64292765103,0.9856008197549949,7736297.247061698,77.36297247061698
Guayama,1985-1989,2,1,4,3.8299536881279076e-4,1.5012539608263997,0.0015305167582232368,98601.96440236016,150.91195891155803,394030.76694984647,0.9984433010454858,7637527.6041340465,77.45816881464923
Guayama,1985-1989,2,5,5,1.8047090473432298e-4,2.5,9.019475854297013e-4,98451.0524434486,88.7976890343707,492033.26799465704,0.9990755784664687,7243496.8371842,73.57460034614608
Guayama,1985-1989,2,10,5,1.8947286147140757e-4,2.5,9.46915770255631e-4,98362.25475441423,93.14077022485435,491578.421846509,0.9985756074957918,6751463.569189543,68.63876378237005
Guayama,1985-1989,2,15,5,3.808265867474649e-4,2.5,0.0019023217969452596,98269.11398418937,186.93947749862855,490878.2212272003,0.997612610076198,6259885.147343034,63.701450980317105
Guayama,1985-1989,2,20,5,5.755033336331327e-4,2.5,0.0028733825650531846,98082.17450669075,281.82761017003213,489706.3035080286,0.9965630179300897,5769006.926115833,58.818097734184065
Guayama,1985-1989,2,25,5,8.020461124386688e-4,2.5,0.004002205678429433,97800.34689652071,391.41710370162036,488023.1917233495,0.9952912522240441,5279300.622607805,53.9803874948793
Guayama,1985-1989,2,30,5,0.001086569379090965,2.5,0.005418128962897199,97408.9297928191,527.7741437552904,485725.21360470727,0.9934189996669088,4791277.430884455,49.18725050234218
Guayama,1985-1989,2,35,5,0.0015560712596233918,2.5,0.007750206613697663,96881.1556490638,750.8489732540475,482528.6558121839,0.9912055754079668,4305552.217279748,44.44158606938907
Guayama,1985-1989,2,40,5,0.001979103655043938,2.5,0.009846798687039686,96130.30667580976,946.5757775600796,478285.09393514856,0.9877574466384977,3823023.5614675637,39.769180955183515
Guayama,1985-1989,2,45,5,0.002954083210900772,2.5,0.014662133151060016,95183.73089824968,1395.5965362448042,472429.66315063636,0.982045481481744,3344738.4675324154,35.13981261259766
Guayama,1985-1989,2,50,5,0.004305018735000606,2.5,0.021295895601149122,93788.13436200487,1997.302317999798,463947.4160150248,0.9736245700411967,2872308.804381779,30.62550315048594
Guayama,1985-1989,2,55,5,0.006414334067449169,2.5,0.03156549132139929,91790.83204400507,2897.42271226905,451710.60343935277,0.9577805363705337,2408361.388366754,26.237493818687376
