region,period,sex,e0_observado,e0_estimado,e0_lower,e0_upper,est_eval
San German,2020-2024,2,82.86606747430847,83.5077042807331,82.27273506715645,84.70360940223155,Estimación adecuada
San Juan,1980-1984,1,68.26137226936552,68.49215746947704,67.89978414347752,69.1219645488269,Estimación adecuada
San Juan,1980-1984,2,77.98175300417972,77.77823943491961,77.07099377685807,78.48753329701162,Estimación adecuada
San Juan,1985-1989,1,66.96744464005974,67.32972418995608,66.72267243908438,68.01984260142584,Estimación adecuada
San Juan,1985-1989,2,78.26875532864007,78.08344727064191,77.3804133088211,78.82193953073853,Estimación adecuada
San Juan,1990-1994,1,64.45177451257833,65.1411400672782,64.51673326121907,65.98001192215185,> e0 observado
San Juan,1990-1994,2,77.9510862091286,77.92018484506491,77.21457968164391,78.6994555539037,Estimación adecuada
San Juan,1995-1999,1,66.88645464614926,67.27759103833625,66.67974780268334,67.9210459851479,Estimación adecuada
San Juan,1995-1999,2,78.90633925094117,78.81051575663093,77.99253436804497,79.60036793127634,Estimación adecuada
San Juan,2000-2004,1,70.87615547419726,71.02995199162598,70.40519388989226,71.78057566205177,Estimación adecuada
San Juan,2000-2004,2,80.6995291854918,80.50099428010361,79.64002296449253,81.49429405103645,Estimación adecuada
San Juan,2005-2009,1,71.97949749656237,72.05591871133598,71.34912674724708,72.83700654289387,Estimación adecuada
San Juan,2005-2009,2,81.46719257058307,81.310818117758,80.46486572724035,82.28620288666826,Estimación adecuada
San Juan,2010-2014,1,73.58705582183369,73.70640839320804,72.9969065609627,74.58381733864262,Estimación adecuada
San Juan,2010-2014,2,83.075882963197,82.81489343703271,81.70118566030635,83.94777393786269,Estimación adecuada
San Juan,2015-2019,1,74.62427503463849,74.7616646296512,73.98069414673243,75.6073025313032,Estimación adecuada
San Juan,2015-2019,2,83.61847977164665,83.51275672995669,82.44598685353003,84.73573175228167,Estimación adecuada
San Juan,2020-2024,1,74.68060576699101,74.72502594618284,73.8771311238408,75.62831134565532,Estimación adecuada
San Juan,2020-2024,2,83.7308927510581,83.50224897859837,82.44832998599341,84.9032258034638,Estimación adecuada
San Lorenzo,1980-1984,1,72.42635413000933,72.22483917650129,71.03082416019247,73.4966399706876,Estimación adecuada
San Lorenzo,1980-1984,2,77.81670293955375,77.80418190727733,76.65739629761364,79.05892525107633,Estimación adecuada
San Lorenzo,1985-1989,1,70.31303109410412,70.87851777726232,69.90970348125154,71.99318874887796,Estimación adecuada
San Lorenzo,1985-1989,2,79.25628773559832,78.53288317945768,77.3900594384556,79.7012112947202,Estimación adecuada
San Lorenzo,1990-1994,1,70.47514076088308,70.62296625368111,69.533322067431925,71.6650011316761,Estimación adecuada
San Lorenzo,1990-1994,2,79.21166721450432,78.69422198669363,77.58851753561316,79.92334194253837,Estimación adecuada
San Lorenzo,1995-1999,1,71.78826386359161,71.60914699850858,70.54353612534922,72.69763313295275,Estimación adecuada
San Lorenzo,1995-1999,2,78.28317800654982,78.24562256090064,77.26720194564535,79.27340062261733,Estimación adecuada
San Lorenzo,2000-2004,1,73.21363850026158,73.34134325783572,72.29705957041837,74.47545586346152,Estimación adecuada
San Lorenzo,2000-2004,2,80.88971470058677,80.68257731671076,79.53309498606772,81.92174645704134,Estimación adecuada
San Lorenzo,2005-2009,1,74.4561706047248,74.40597821720795,73.32319626293176,75.43671566215914,Estimación adecuada
San Lorenzo,2005-2009,2,81.16130116216382,80.87904443344034,79.87624631077637,82.18690295328729,Estimación adecuada
San Lorenzo,2010-2014,1,75.90726808814337,76.03192954326408,74.85991496118876,77.27449579295613,Estimación adecuada
San Lorenzo,2010-2014,2,82.33834359548328,81.94589080309473,80.88110789549194,83.33878014877335,Estimación adecuada
San Lorenzo,2015-2019,1,77.41407852043154,77.7908726336102,76.51398688529626,79.14848482526456,Estimación adecuada
San Lorenzo,2015-2019,2,84.87927123333901,84.25579173418843,82.61535413172611,85.9785471173608,Estimación adecuada
San Lorenzo,2020-2024,1,77.63723628696799,77.58720087651332,76.36990150325306,78.79168507139875,Estimación adecuada
San Lorenzo,2020-2024,2,84.52792721973736,84.25631849265028,82.94511029283125,85.59659337850444,Estimación adecuada
San Sebastian,1980-1984,1,73.32261995563178,72.64176089871276,71.73849071812364,73.72764280083186,Estimación adecuada
