period,region,sex,e0
2005-2009,Ciales,2,81.7415372083384
2010-2014,Ciales,1,76.29978930539858
2010-2014,Ciales,2,83.25811009856766
2015-2019,Ciales,1,77.20762436392506
2015-2019,Ciales,2,85.59842329108493
2020-2024,Ciales,1,77.2560963406061
2020-2024,Ciales,2,83.25997379649156
1980-1984,Cidra,1,72.99605354469153
1980-1984,Cidra,2,78.85714203738861
1985-1989,Cidra,1,72.67881277225457
1985-1989,Cidra,2,79.249605999134
1990-1994,Cidra,1,72.89205307667481
1990-1994,Cidra,2,79.09848044003168
1995-1999,Cidra,1,73.68037533839073
1995-1999,Cidra,2,80.3543052236425
2000-2004,Cidra,1,74.76552394395216
2000-2004,Cidra,2,81.4573139264924
2005-2009,Cidra,1,75.5028625030374
2005-2009,Cidra,2,81.70293300940816
2010-2014,Cidra,1,77.27764604616019
2010-2014,Cidra,2,83.19124558317648
2015-2019,Cidra,1,77.76264252492584
2015-2019,Cidra,2,84.76099136847195
2020-2024,Cidra,1,78.22792446762195
2020-2024,Cidra,2,84.03259121772946
1980-1984,Coamo,1,71.50897828308689
1980-1984,Coamo,2,78.16710797607104
1985-1989,Coamo,1,71.34913994696707
1985-1989,Coamo,2,77.8396489887755
1990-1994,Coamo,1,70.82492192093117
1990-1994,Coamo,2,78.79770285243866
1995-1999,Coamo,1,70.99376896320946
1995-1999,Coamo,2,78.38888722845617
2000-2004,Coamo,1,73.2285354391842
2000-2004,Coamo,2,80.2528107422578
2005-2009,Coamo,1,75.56214912189394
2005-2009,Coamo,2,81.30402052738492
2010-2014,Coamo,1,75.47984937727365
2010-2014,Coamo,2,82.16852442926265
2015-2019,Coamo,1,76.13672126635964
2015-2019,Coamo,2,83.03427445611115
2020-2024,Coamo,1,77.58983366466647
2020-2024,Coamo,2,83.43520119440888
1980-1984,Comerio,1,72.1169483811286
1980-1984,Comerio,2,78.7771986701881
1985-1989,Comerio,1,71.65835737727653
1985-1989,Comerio,2,78.30585204837914
1990-1994,Comerio,1,71.50397070342018
1990-1994,Comerio,2,78.02646256225992
1995-1999,Comerio,1,71.43719910473519
1995-1999,Comerio,2,78.42996771656507
2000-2004,Comerio,1,73.4591933926983
2000-2004,Comerio,2,79.59366357461093
2005-2009,Comerio,1,73.93167274583939
2005-2009,Comerio,2,80.94562339636681
2010-2014,Comerio,1,76.20384476137103
