period,region,sex,e0
1995-1999,Bayamon,2,79.0786718485555
2000-2004,Bayamon,1,74.21397331630502
2000-2004,Bayamon,2,80.82744755795127
2005-2009,Bayamon,1,75.13728398715365
2005-2009,Bayamon,2,81.70832029433487
2010-2014,Bayamon,1,76.25659998422381
2010-2014,Bayamon,2,82.77673962980374
2015-2019,Bayamon,1,77.75823779656717
2015-2019,Bayamon,2,84.20954640045214
2020-2024,Bayamon,1,77.70619935145112
2020-2024,Bayamon,2,84.16223444765556
1980-1984,Cabo Rojo,1,72.4509725275122
1980-1984,Cabo Rojo,2,79.15171685943388
1985-1989,Cabo Rojo,1,72.49420340802403
1985-1989,Cabo Rojo,2,79.19207684481263
1990-1994,Cabo Rojo,1,72.54170590193533
1990-1994,Cabo Rojo,2,79.23983169584145
1995-1999,Cabo Rojo,1,72.96342240169437
1995-1999,Cabo Rojo,2,79.642211884277
2000-2004,Cabo Rojo,1,74.79812634991791
2000-2004,Cabo Rojo,2,81.38840861597754
2005-2009,Cabo Rojo,1,75.71761610593613
2005-2009,Cabo Rojo,2,82.2615465563726
2010-2014,Cabo Rojo,1,76.82703803501886
2010-2014,Cabo Rojo,2,83.32560927736246
2015-2019,Cabo Rojo,1,78.32650067942951
2015-2019,Cabo Rojo,2,84.75828687739595
2020-2024,Cabo Rojo,1,78.27804964822168
2020-2024,Cabo Rojo,2,84.71235363161065
1980-1984,Caguas,1,71.55589647123614
1980-1984,Caguas,2,78.3017846200598
1985-1989,Caguas,1,71.5963650031717
1985-1989,Caguas,2,78.34089286203603
1990-1994,Caguas,1,71.64705050929112
1990-1994,Caguas,2,78.38929166932994
1995-1999,Caguas,1,72.0714667570785
1995-1999,Caguas,2,78.79202704568534
2000-2004,Caguas,1,73.92040999699456
2000-2004,Caguas,2,80.55311741726167
2005-2009,Caguas,1,74.84453407047987
2005-2009,Caguas,2,81.43335276772645
2010-2014,Caguas,1,75.96505583649058
2010-2014,Caguas,2,82.49824597960463
2015-2019,Caguas,1,77.47293207566749
2015-2019,Caguas,2,83.9404322577101
2020-2024,Caguas,1,77.42080610633343
2020-2024,Caguas,2,83.89157600303108
1980-1984,Camuy,1,71.8840024972026
1980-1984,Camuy,2,78.61430288308178
1985-1989,Camuy,1,71.9255062883064
1985-1989,Camuy,2,78.65346832963431
1990-1994,Camuy,1,71.97418781127583
1990-1994,Camuy,2,78.69860822069653
1995-1999,Camuy,1,72.39860246111014
1995-1999,Camuy,2,79.10391006957046
2000-2004,Camuy,1,74.2423335264115
2000-2004,Camuy,2,80.85584346252837
2005-2009,Camuy,1,75.16271167519362
2005-2009,Camuy,2,81.73797383793536
2010-2014,Camuy,1,76.28356207841279
2010-2014,Camuy,2,82.8007018212756
2015-2019,Camuy,1,77.78873167887636
2015-2019,Camuy,2,84.23500711375925
2020-2024,Camuy,1,77.73682164121756
2020-2024,Camuy,2,84.18815342497032
1980-1984,Canovanas,1,70.89628310083455
1980-1984,Canovanas,2,77.6734559611006
1985-1989,Canovanas,1,70.93735744552677
1985-1989,Canovanas,2,77.71408357103645
1990-1994,Canovanas,1,70.98759260874222
1990-1994,Canovanas,2,77.76061416331684
1995-1999,Canovanas,1,71.41129253643989
1995-1999,Canovanas,2,78.16641723032683
2000-2004,Canovanas,1,73.26830859197523
2000-2004,Canovanas,2,79.92938162428443
2005-2009,Canovanas,1,74.19720174547274
2005-2009,Canovanas,2,80.8152943173849
